profile_id	lmo0737	lmo1118	ORF2110	ORF2819	prs	serogroup
200	0	0	3	2	2	IVb
201	7	0	0	49	2	atypical
202	0	0	0	0	84	L
203	0	0	0	0	66	L
204	0	0	0	0	37	L
205	0	0	0	0	85	L
206	0	0	0	0	86	L
207	0	0	0	5	2	IIb
208	0	0	0	0	34	L
209	1	0	0	0	87	IIa
210	54	0	0	0	5	IIa
211	55	0	0	0	1	IIa
212	56	0	0	0	1	IIa
213	57	0	0	0	1	IIa
214	58	0	0	0	1	IIa
215	59	0	0	0	5	IIa
216	60	0	0	0	1	IIa
217	1	0	0	0	89	IIa
218	0	0	0	50	4	IIb
219	0	0	0	18	23	IIb
220	0	0	0	18	5	IIb
221	1	19	0	0	1	IIc
222	1	20	0	0	1	IIc
223	1	21	0	0	1	IIc
224	0	0	1	30	2	IVb
225	0	0	26	1	2	IVb
226	0	0	45	1	4	IVb
227	0	0	46	9	2	IVb
228	0	0	1	1	88	IVb
229	0	0	47	1	4	IVb
230	0	0	1	13	4	IVb
231	1	23	0	0	1	IIc
232	0	0	0	0	90	L
233	0	0	0	0	91	L
234	61	0	0	0	5	IIa
